,,,,,,,,,,,No Filters Selected,No Filters Selected,No Filters Selected
Dist Companies,OnOff Premises,Chains,Account Names,Address,City,State,Zip Code,Store Num,Last KARMA entry,Item Names,3 Months 5/1/2026 thru 7/16/2026  Case Equivs,3 Months 5/1/2026 thru 7/16/2026  Authorized Item Gaps,3 Months 5/1/2026 thru 7/16/2026  Authorized Acct Gaps
Doll Distributing,OFF,CASEYS,CASEYS #4333,5240 CUMMING AVE,CUMMING,IA,50061,4333,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3640,870 NE ALICES RD,WAUKEE,IA,50263,3640,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2274,720 HWY 71,SIOUX RAPIDS,IA,50585,2274,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1441,1402 S 12TH AVE,MARSHALLTOWN,IA,50158,1441,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2365,911 SW 7TH ST,ATLANTIC,IA,50022,2365,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3319,1800 S B AVE,NEVADA,IA,50201,3319,20240218,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3717,1112 W 4TH ST,VINTON,IA,52349,3717,20250716,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2899,1100 GREENE ST,DE SOTO,IA,50069,2899,20240119,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3217,1201 E MAIN ST,KNOXVILLE,IA,50138,3217,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3098,105 GRAND AVE,WEST DES MOINES,IA,50265,3098,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #45,2890 E BROADWAY AVE,DES MOINES,IA,50317,45,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3932,4580 114TH ST,URBANDALE,IA,50322,3932,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1303,111 N 3RD AVE,MARSHALLTOWN,IA,50158,1303,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2543,201 S MAIN ST,ALBION,IA,50005,2543,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #4372,6961 UNIVERSITY AVE,WINDSOR HEIGHTS,IA,50324,4372,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3075,6981 NE 14TH ST,ANKENY,IA,50023,3075,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2568,1510 SUNSET DR,NORWALK,IA,50211,2568,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3513,606 13TH ST,BELLE PLAINE,IA,52208,3513,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2559,1802 SYCAMORE ST,GRANGER,IA,50109,2559,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3422,500 NORTH AVE,NORWALK,IA,50211,3422,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #4319,601 SOUMAS AVE,PERRY,IA,50220,4319,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2683,6301 SE 116TH ST,RUNNELLS,IA,50237,2683,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #32,117 N KENNEDY AVE,MADRID,IA,50156,32,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #38,102 W MAIN ST,TREYNOR,IA,51575,38,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2654,708 S DIVISION ST,STUART,IA,50250,2654,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2783,4901 NW 86TH ST,URBANDALE,IA,50322,2783,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1617,508 N ELM ST,JEFFERSON,IA,50129,1617,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3977,600 E 14TH ST,DES MOINES,IA,50316,3977,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3770,601 S LOCUST ST,GLENWOOD,IA,51534,3770,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1610,203 S LINCOLN ST,KNOXVILLE,IA,50138,1610,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2,114 MAMIE EISENHOWER AVE,BOONE,IA,50036,2,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2478,205 S MAIN ST,NEW SHARON,IA,50207,2478,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1941,1010 SE ORALABOR RD,ANKENY,IA,50021,1941,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3333,5550 E UNIVERSITY AVE,PLEASANT HILL,IA,50327,3333,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1938,3348 8TH ST SW,ALTOONA,IA,50009,1938,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1002,504 16TH ST N,GRAND JUNCTION,IA,50107,1002,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2284,1030 VETERANS MEMORIAL HWY,COUNCIL BLUFFS,IA,51501,2284,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2490,1625 BROAD ST,STORY CITY,IA,50248,2490,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2923,1850 22ND ST,WEST DES MOINES,IA,50266,2923,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2920,1010 SE NATIONAL DR,ANKENY,IA,50021,2920,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3476,1132 HIGHWAY 69 S,FOREST CITY,IA,50436,3476,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3220,302 SE 6TH ST,GREENFIELD,IA,50849,3220,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #4335,602 SUGAR GROVE AVE,DALLAS CENTER,IA,50063,4335,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1680,816 GREENE ST,ADEL,IA,50003,1680,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3202,111 MORMON BRIDGE RD,CRESCENT,IA,51526,3202,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3244,3750 111TH ST,URBANDALE,IA,50322,3244,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3228,916 E MAIN ST,MARSHALLTOWN,IA,50158,3228,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #5210,801 1ST ST,GRIMES,IA,50111,5210,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3606,5150 100TH ST,URBANDALE,IA,50322,3606,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2179,1955 SE UNIVERSITY AVE,WAUKEE,IA,50263,2179,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2253,2070 NW 100TH ST,CLIVE,IA,50325,2253,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3055,504 G AVE,GRUNDY CENTER,IA,50638,3055,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3827,3605 NW IRVINEDALE DR,ANKENY,IA,50023,3827,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2635,10010 NW 62ND AVE,JOHNSTON,IA,50131,2635,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3502,616 HALLAND AVE,STANTON,IA,51573,3502,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3507,951 SE GATEWAY DR,GRIMES,IA,50111,3507,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1329,8 CENTRAL AVE,ESTHERVILLE,IA,51334,1329,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1653,204 6TH ST,CORNING,IA,50841,1653,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2164,3505 N ANKENY BLVD,ANKENY,IA,50023,2164,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2786,5150 NE 14TH ST,DES MOINES,IA,50313,2786,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3826,1738 NILE KINNICK S,ADEL,IA,50003,3826,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3043,576 N MAIN AVE,BRITT,IA,50423,3043,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1901,2541 NW 66TH AVE,DES MOINES,IA,50313,1901,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1861,1455 GRANT ST S,BONDURANT,IA,50035,1861,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3954,4343 SOUTH 15TH AVE E,NEWTON,IA,50208,3954,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2488,504 S MAIN ST,NORTH ENGLISH,IA,52316,2488,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3203,1928 SHERWOOD DR,COUNCIL BLUFFS,IA,51503,3203,20250503,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2610,1408 E 7TH ST,ATLANTIC,IA,50022,2610,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2699,1482 ST HWY 48,ESSEX,IA,51638,2699,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1567,912 MAIN ST,ANITA,IA,50020,1567,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2817,900 MAIN ST,GRISWOLD,IA,51535,2817,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3026,209 E MAIN ST,SAINT CHARLES,IA,50240,3026,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2297,108 8TH ST,WEST DES MOINES,IA,50265,2297,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #4269,600 NW 10TH ST,WAUKEE,IA,50263,4269,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2803,309 N U AVE,VILLISCA,IA,50864,2803,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1910,6110 MERLE HAY RD,JOHNSTON,IA,50131,1910,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1414,911 3RD AVE SW,STATE CENTER,IA,50247,1414,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3201,701 32ND AVE,COUNCIL BLUFFS,IA,51501,3201,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3204,33280 335TH ST,MINDEN,IA,51553,3204,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2921,3725 BEAVER AVE,DES MOINES,IA,50310,2921,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3679,207 E MILWAUKEE AVE,STORM LAKE,IA,50588,3679,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2097,1006 W 2ND AVE,INDIANOLA,IA,50125,2097,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3508,108 IOWA AVE W,MARSHALLTOWN,IA,50158,3508,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3262,101 1ST AVE NE,BUFFALO CENTER,IA,50424,3262,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3934,1515 SE CORPORATE WOODS DR,ANKENY,IA,50021,3934,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2487,1304 18TH ST,SPIRIT LAKE,IA,51360,2487,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1712,605 S FREMONT ST,SHENANDOAH,IA,51601,1712,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2177,309 CENTER AVE S,MITCHELLVILLE,IA,50169,2177,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2474,104 N US HWY 69,HUXLEY,IA,50124,2474,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2301,17005 US HWY 69,GILBERT,IA,50105,2301,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2392,5340 NW BEAVER DR,JOHNSTON,IA,50131,2392,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2641,2849 E EUCLID AVE,DES MOINES,IA,50317,2641,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2272,1203 N WALNUT ST,COLFAX,IA,50054,2272,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1569,205 BROWN ST,OAKLAND,IA,51560,1569,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3718,1175 NE 75TH ST,PLEASANT HILL,IA,50327,3718,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,CASEYS,CASEYS #44,4560 NE 14TH ST,DES MOINES,IA,50313,44,0,Tigerhawk 2/12/12oz Can,9,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2644,975 N CHESTNUT AVE,EARLHAM,IA,50072,2644,0,Tigerhawk 2/12/12oz Can,9,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2244,2150 E ARMY POST RD,DES MOINES,IA,50320,2244,0,Tigerhawk 2/12/12oz Can,8,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1536,301 E MICHIGAN AVE,GEORGE,IA,51237,1536,0,Tigerhawk 2/12/12oz Can,7,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3044,504 2ND AVE,SHELDON,IA,51201,3044,0,Tigerhawk 2/12/12oz Can,7,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2612,106 E ERIE ST,MISSOURI VALLEY,IA,51555,2612,0,Tigerhawk 2/12/12oz Can,6,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2431,8 7TH ST NE,SIOUX CENTER,IA,51250,2431,0,Tigerhawk 2/12/12oz Can,5,0,0
Doll Distributing,OFF,CASEYS,CASEYS #1762,602 E STATE ST,ALGONA,IA,50511,1762,0,Tigerhawk 2/12/12oz Can,5,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3029,307 S 4TH AVE,ARMSTRONG,IA,50514,3029,0,Tigerhawk 2/12/12oz Can,5,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2877,805 GRAND AVE S,SPENCER,IA,51301,2877,0,Tigerhawk 2/12/12oz Can,5,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3385,704 8TH SE SE,ORANGE CITY,IA,51041,3385,0,Tigerhawk 2/12/12oz Can,5,0,0
Doll Distributing,OFF,CASEYS,CASEYS #2539,501 W CLARINDA AVE,SHENANDOAH,IA,51601,2539,0,Tigerhawk 2/12/12oz Can,3,0,0
Doll Distributing,OFF,CASEYS,CASEYS #3512,301 E TRAIL RIDGE AVE,INDIANOLA,IA,50125,3512,0,Tigerhawk 2/12/12oz Can,0,-1,-1
Doll Distributing,OFF,CASEYS,CASEYS #2598,414 S CLARK ST,PELLA,IA,50219,2598,0,Tigerhawk 2/12/12oz Can,0,-1,-1
Doll Distributing,OFF,CASEYS,CASEYS #3953,3121 FOREST AVE,DES MOINES,IA,50311,3953,0,Tigerhawk 2/12/12oz Can,0,-1,-1
Doll Distributing,OFF,CASEYS,CASEYS #2494,200 S COMMERCIAL AVE,EAGLE GROVE,IA,50533,2494,0,Tigerhawk 2/12/12oz Can,0,-1,-1
Doll Distributing,OFF,CASEYS,CASEYS #1892,702 E GILMAN ST,SHEFFIELD,IA,50475,1892,0,Tigerhawk 2/12/12oz Can,0,-1,-1
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1889,1725 JORDAN CREEK PKWY,WEST DES MOINES,IA,50266,1889,20260702,Tigerhawk 2/12/12oz Can,70,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1889,1725 JORDAN CREEK PKWY,WEST DES MOINES,IA,50266,1889,20260702,Tigerhawk 4/6/16oz Can,7.999999,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1889,1725 JORDAN CREEK PKWY,WEST DES MOINES,IA,50266,1889,20260702,Tigerhawk 1/6 Barrel Keg,2.293333,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1022,410 N ANKENY BLVD STE 1,ANKENY,IA,50023,1022,20260619,Tigerhawk 2/12/12oz Can,66,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1022,410 N ANKENY BLVD STE 1,ANKENY,IA,50023,1022,20260619,Tigerhawk 4/6/16oz Can,21.333333,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1011,108 8TH ST SW,ALTOONA,IA,50009,1011,20260708,Tigerhawk 2/12/12oz Can,54,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1011,108 8TH ST SW,ALTOONA,IA,50009,1011,20260708,Tigerhawk 4/6/16oz Can,5.333332,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1224,351 NE GATEWAY DR,GRIMES,IA,50111,1224,20260612,Tigerhawk 2/12/12oz Can,54,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1023,2510 SW STATE ST,ANKENY,IA,50023,1023,20260619,Tigerhawk 2/12/12oz Can,46,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1873,1005 E HICKMAN RD,WAUKEE,IA,50263,1873,20260708,Tigerhawk 2/12/12oz Can,45,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1873,1005 E HICKMAN RD,WAUKEE,IA,50263,1873,20260708,Tigerhawk 4/6/16oz Can,12,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1449,1501 1ST AVE E STE 24,NEWTON,IA,50208,1449,20260630,Tigerhawk 2/12/12oz Can,31,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1449,1501 1ST AVE E STE 24,NEWTON,IA,50208,1449,20260630,Tigerhawk 4/6/16oz Can,8,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1148,4605 FLEUR DR,DES MOINES,IA,50321,1148,20260707,Tigerhawk 2/12/12oz Can,30,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1148,4605 FLEUR DR,DES MOINES,IA,50321,1148,20260707,Tigerhawk 4/6/16oz Can,7.999999,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1887,1700 VALLEY WEST DR,WEST DES MOINES,IA,50266,1887,20260707,Tigerhawk 2/12/12oz Can,30,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1890,555 S 51ST ST,WEST DES MOINES,IA,50265,1890,20260708,Tigerhawk 2/12/12oz Can,30,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1890,555 S 51ST ST,WEST DES MOINES,IA,50265,1890,20260708,Tigerhawk 4/6/16oz Can,10.666667,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1155,420 COURT AVE,DES MOINES,IA,50309,1155,20260626,Tigerhawk 2/12/12oz Can,25,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1759,8701 DOUGLAS AVE,URBANDALE,IA,50322,1759,20260707,Tigerhawk 2/12/12oz Can,22,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1235,320 WEST ST S,GRINNELL,IA,50112,1235,20260527,Tigerhawk 2/12/12oz Can,20,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1481,110 S D ST,OSKALOOSA,IA,52577,1481,20260417,Tigerhawk 2/12/12oz Can,20,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1636,819 N GRAND AVE,SPENCER,IA,51301,1636,20260518,Tigerhawk 2/12/12oz Can,18,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1636,819 N GRAND AVE,SPENCER,IA,51301,1636,20260518,Tigerhawk 4/6/16oz Can,9.333334,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1895,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,IA,50324,1895,20260701,Tigerhawk 2/12/12oz Can,17,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1092,2323 W BROADWAY,COUNCIL BLUFFS,IA,51501,1092,20260423,Tigerhawk 2/12/12oz Can,14,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1092,2323 W BROADWAY,COUNCIL BLUFFS,IA,51501,1092,20260423,Tigerhawk 1/24/12oz Can,7,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1628,1500 18TH ST,SPIRIT LAKE,IA,51360,1628,0,Tigerhawk 4/6/16oz Can,10.666666,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1318,5750 MERLE HAY RD,JOHNSTON,IA,50131,1318,20260501,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1530,4815 MAPLE DR,PLEASANT HILL,IA,50327,1530,20260708,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1530,4815 MAPLE DR,PLEASANT HILL,IA,50327,1530,20260708,Tigerhawk 4/6/16oz Can,1.333333,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1622,1951 S MAIN AVE,SIOUX CENTER,IA,51250,1622,0,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1888,1990 GRAND AVE,WEST DES MOINES,IA,50265,1888,20260707,Tigerhawk 2/12/12oz Can,10,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1888,1990 GRAND AVE,WEST DES MOINES,IA,50265,1888,20260707,Tigerhawk 4/6/16oz Can,6.666667,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1619,500 S FREMONT,SHENANDOAH,IA,51601,1619,0,Tigerhawk 2/12/12oz Can,7,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1403,802 S CENTER ST,MARSHALLTOWN,IA,50158,1403,20260616,Tigerhawk 4/6/16oz Can,6.666667,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1142,3221 SE 14TH ST,DES MOINES,IA,50320,1142,20250910,Tigerhawk 2/12/12oz Can,6,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1142,3221 SE 14TH ST,DES MOINES,IA,50320,1142,20250910,Tigerhawk 4/6/16oz Can,2.666666,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1151,1107 E ARMY POST RD,DES MOINES,IA,50315,1151,20260623,Tigerhawk 2/12/12oz Can,6,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1271,910 N JEFFERSON WAY,INDIANOLA,IA,50125,1271,20260625,Tigerhawk 4/6/16oz Can,5.333333,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1634,1250 N LAKE AVE,STORM LAKE,IA,50588,1634,0,Tigerhawk 4/6/16oz Can,5.333333,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1170,1221 CENTRAL AVE,ESTHERVILLE,IA,51334,1170,20260417,Tigerhawk 4/6/16oz Can,3.999999,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1138,2540 E EUCLID AVE,DES MOINES,IA,50317,1138,20260623,Tigerhawk 4/6/16oz Can,2.666666,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1898,923 N 1ST ST,WINTERSET,IA,50273,1898,20260625,Tigerhawk 2/12/12oz Can,2,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1522,1215 141ST ST,PERRY,IA,50220,1522,20260331,Tigerhawk 2/12/12oz Can,2,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1136,3330 MARTIN LUTHER KING JR PKWY,DES MOINES,IA,50310,1136,20230306,Tigerhawk 2/12/12oz Can,2,0,0
Doll Distributing,OFF,HY VEE FOOD STORE,HY VEE FOOD STORE #1353,809 W ROCK ISLAND ST,KNOXVILLE,IA,50138,1353,20260630,Tigerhawk 4/6/16oz Can,1.333333,0,0
