Distributors,Brands,Item Names,Draft/Package,Current On Hand in Case Equivs,Projected Daily Rate of Sales,Projected Days on Hand,90 Days 4/23/2026 thru 7/21/2026 Case Equivs,90 Days 4/23/2025 thru 7/21/2025 Case Equivs,Pct,90 Days  7/22/2025 thru 10/19/2025 Case Equivs,Projected 90 Days Sales Case Equivs,Projected Order in Case Equivs,Last Sale Date
"Doll Dist - Des Moines, IA",1939 Amber Ale,1939 Amber 1/2 Barrel Keg,DRAFT,0,0,0,0,461.555563,-1,351.333339,0,0,03/26/2026
"Doll Dist - Des Moines, IA",1939 Amber Ale,1939 Amber 4/6/12oz Can,PACKAGE,0,0.171751412429,0,16,177,-0.909604519774,171,15.457627118646,15.457627118646,05/08/2026
"Doll Dist - Des Moines, IA",Tailwind,Tailwind 6/4/16oz can,PACKAGE,0,0,0,0,0,--,0,0,0,11/14/2024
"Doll Dist - Des Moines, IA",Tailwind,Tailwind 1/2 Barrel,DRAFT,0,0,0,0,0,--,0,0,0,01/24/2024
"Doll Dist - Des Moines, IA",Starla,Starla 1/2 Barrel,DRAFT,0,0,0,0,0,--,0,0,0,06/13/2024
"Doll Dist - Des Moines, IA",Starla,Starla 6/4/16oz,PACKAGE,0,0,0,0,0,--,0,0,0,06/14/2024
"Doll Dist - Des Moines, IA",Jingle Jam,Jingle Jam 1/6 Barrel,DRAFT,0,0,0,0,0,--,0,0,0,01/05/2024
"Doll Dist - Des Moines, IA",Jingle Jam,Jingle Jam 6/4/12oz can,PACKAGE,0,0,0,0,0,--,0,0,0,05/23/2024
"Doll Dist - Des Moines, IA",Tropical Jam,Tropical Jam 6/4/12 oz can,PACKAGE,0,0,0,0,0,--,0,0,0,03/23/2023
"Doll Dist - Des Moines, IA",Tropical Jam,Tropical Jam 1/2 Barrel,DRAFT,0,0,0,0,0,--,0,0,0,03/09/2023
"Doll Dist - Des Moines, IA",Tropical Jam,Tropical Jam 1/6 Barrel,DRAFT,0,0,0,0,0,--,0,0,0,03/09/2023
"Doll Dist - Des Moines, IA",Boomtown,Boomtown 1/6 Barrel Keg,DRAFT,0,0,0,0,0,--,0,0,0,04/10/2025
"Doll Dist - Des Moines, IA",Boomtown,Boomtown 4/6/12oz Can,PACKAGE,0,0,0,0,22,-1,-1,0,0,05/19/2025
"Doll Dist - Des Moines, IA",Boomtown,Boomtown 2/12/12oz Can,PACKAGE,0,0,0,0,0,--,0,0,0,06/20/2023
"Doll Dist - Des Moines, IA",Boomtown,Boomtown 1/2 Barrel Keg,DRAFT,0,0,0,0,6.888889,-1,0,0,0,05/09/2025
"Doll Dist - Des Moines, IA",Oktoberfest,Oktoberfest 4/6/12oz Can,PACKAGE,0,0,0,0,48,-1,642,0,0,10/01/2025
"Doll Dist - Des Moines, IA",Oktoberfest,Oktoberfest 1/2 Barrel Keg,DRAFT,0,6.046913655556,0,0,0,--,544.222229,544.222229,544.222229,10/02/2025
